iter	Passed	Remaining
0	1	118
1	2	102
2	2	96
3	3	94
4	4	92
5	5	89
6	7	93
7	8	94
8	9	93
9	10	93
10	11	95
11	13	97
12	14	94
13	15	92
14	15	90
15	16	88
16	17	87
17	18	85
18	19	84
19	20	82
20	21	81
21	22	80
22	23	79
23	24	78
24	25	77
25	26	76
26	27	75
27	28	73
28	29	72
29	30	71
30	31	69
31	32	68
32	33	67
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	48	47
51	49	46
52	51	45
53	52	44
54	52	43
55	53	42
56	54	41
57	55	40
58	56	39
59	57	38
60	58	37
61	59	36
62	60	35
63	61	34
64	62	33
65	62	32
66	63	31
67	64	30
68	66	29
69	67	28
70	68	28
71	69	27
72	71	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
